service_date,department,payer_type,claims_submitted,claims_denied,claims_approved,gross_revenue,expected_reimbursement,payments_collected,patient_payments,ar_balance,days_in_ar,write_offs,adjustments
2022-01-01,Oncology,Medicare,3937,160,3777,821589,723706,645914,344051,1134466,42,48859,15632
2022-01-02,Neurology,Self-Pay,3954,336,3618,2154499,1729862,1426966,111967,754067,100,171549,54328
2022-01-03,Orthopedics,Medicaid,1846,135,1711,4025873,3838413,3260402,205289,2630335,55,70025,39654
2022-01-04,Oncology,Self-Pay,1622,215,1407,1839248,1773408,1461145,451317,1487547,2,91416,48676
2022-01-05,Orthopedics,Medicaid,2266,83,2183,2375631,2079224,2001887,349317,1676287,162,68996,24986
2022-01-06,Emergency,Self-Pay,3589,487,3102,2009877,1763423,1667086,256717,785861,140,185689,28731
2022-01-07,Cardiology,Medicaid,2654,139,2515,2181104,2020861,1595973,386339,582574,136,85574,19163
2022-01-08,Urology,Employer Plan,1647,162,1485,2454685,2102721,1904323,184932,2052241,164,179931,82237
2022-01-09,Emergency,Self-Pay,2093,145,1948,4385708,3783747,2875504,55972,128998,111,16113,44635
2022-01-10,Neurology,Employer Plan,3786,534,3252,1956449,1582559,1456859,199938,1872594,175,7191,45977
2022-01-11,Emergency,Medicaid,2261,103,2158,850274,709228,650320,187804,2030226,44,173616,36691
2022-01-12,Emergency,Commercial,596,50,546,539873,445423,348540,351842,2320321,105,100073,42386
2022-01-13,Radiology,Commercial,2661,132,2529,4882087,4667747,4087215,486394,1551377,63,135817,9071
2022-01-14,Cardiology,Employer Plan,3186,395,2791,550444,448902,367363,470403,1515499,74,82940,20471
2022-01-15,Urology,Medicare,547,30,517,3679642,3086744,3011116,404603,2443746,38,36037,97858
2022-01-16,Orthopedics,Self-Pay,573,82,491,1726437,1435571,1375319,77558,2946876,10,126951,84125
2022-01-17,Orthopedics,Commercial,2068,289,1779,3706927,3203130,2893338,300255,1677026,26,13036,91029
2022-01-18,Cardiology,Self-Pay,1442,117,1325,3138688,2646543,2056311,163885,2517230,32,150154,3728
2022-01-19,Cardiology,Medicaid,2772,60,2712,3434124,3052708,2847532,247429,2493417,11,113861,48252
2022-01-20,Orthopedics,Self-Pay,611,88,523,2900518,2631758,2213272,54281,158494,40,163734,21259
2022-01-21,Orthopedics,Medicare,3981,434,3547,635976,538227,530600,153804,2582527,168,169109,17095
2022-01-22,Radiology,Medicaid,1863,156,1707,2816434,2272968,2075427,403271,2356572,148,83982,75610
2022-01-23,Urology,Medicaid,3394,334,3060,1588557,1534637,1264467,101365,71282,39,93692,29574
2022-01-24,Cardiology,Medicaid,3825,131,3694,3217798,2947553,2257053,298063,1774180,8,65427,44173
2022-01-25,Radiology,Medicaid,2968,120,2848,1447493,1185273,988026,183651,2544120,171,78864,10385
2022-01-26,Radiology,Medicare,3156,325,2831,1655303,1598855,1247397,70111,162783,60,46706,90984
2022-01-27,Urology,Medicare,3780,99,3681,4953788,4302596,3665023,66712,2170879,153,11393,20784
2022-01-28,Urology,Commercial,1592,177,1415,2470517,2352858,2176349,222018,2430868,149,32858,80032
2022-01-29,Pulmonology,Self-Pay,2347,327,2020,3914421,3599540,3206936,171908,1963965,83,23329,52924
2022-01-30,Neurology,Medicaid,951,106,845,4218465,3434250,3078004,73575,1310625,100,48714,72882
2022-01-31,Emergency,Self-Pay,2550,236,2314,4644918,4193742,3968014,362093,1744000,9,140611,80181
2022-02-01,Orthopedics,Employer Plan,2888,355,2533,3563557,3120209,2804380,20617,1915840,106,71513,48230
2022-02-02,Urology,Self-Pay,539,63,476,2904478,2384546,1799753,247598,2911310,20,9318,94299
2022-02-03,Pulmonology,Employer Plan,1846,178,1668,994914,796954,717691,437515,1954473,128,139904,4349
2022-02-04,Neurology,Medicaid,3144,143,3001,2703456,2615441,2549446,45573,2928459,105,70229,11142
2022-02-05,Neurology,Commercial,2083,43,2040,799125,678886,545008,320437,2708799,59,56620,33445
2022-02-06,Oncology,Medicaid,3052,242,2810,3409882,3179498,2989460,115943,319273,44,73857,158
2022-02-07,Radiology,Self-Pay,2481,127,2354,4357876,3701822,2861309,249690,953756,140,84996,93185
2022-02-08,Oncology,Employer Plan,3748,185,3563,2101420,1937876,1815316,182142,1703590,176,132240,98071
2022-02-09,Oncology,Medicare,1659,142,1517,2421657,2017174,1522536,399876,2534775,146,145153,84596
2022-02-10,Oncology,Medicaid,2397,164,2233,778388,637364,601431,236182,1902741,43,139122,15885
